country,France,Italy,Spain,US,United Kingdom
18.06.2020,29606,34514,27136,121117,55265
19.06.2020,29620,34561,28315,121748,55353
20.06.2020,29638,34610,28322,122311,55440
21.06.2020,29644,34634,28323,122630,55521
22.06.2020,29668,34657,28324,123009,55604
23.06.2020,29722,34675,28325,123740,55701
24.06.2020,29735,34644,28327,124494,55802
25.06.2020,29754,34678,28330,125045,55910
26.06.2020,29780,34708,28338,125674,55989
27.06.2020,29781,34716,28341,126173,56062
28.06.2020,29781,34738,28343,126496,56133
29.06.2020,29816,34744,28346,126867,56202
30.06.2020,29846,34767,28355,127416,56284
01.07.2020,29865,34788,28364,128117,56338
02.07.2020,29878,34818,28368,128859,56399
03.07.2020,29896,34833,28385,129539,56447
04.07.2020,29896,34854,28385,129846,56499
05.07.2020,29895,34861,28385,130169,56551
06.07.2020,29925,34869,28388,130554,56605
07.07.2020,29936,34899,28392,131698,56648
08.07.2020,29967,34914,28396,132540,56695
09.07.2020,29983,34926,28401,133576,56756
10.07.2020,30009,34938,28403,134380,56800
11.07.2020,30012,34945,28403,135132,56838
12.07.2020,30012,34954,28403,135607,56870
13.07.2020,30035,34967,28406,136053,56915
14.07.2020,30037,34984,28409,136947,56957
15.07.2020,30125,34997,28413,137910,56998
16.07.2020,30142,35017,28416,138883,57019
17.07.2020,30155,35028,28420,139804,57053
18.07.2020,30158,35042,28420,140693,57084
19.07.2020,30158,35045,28420,141176,57108
20.07.2020,30182,35058,28422,141708,57139
21.07.2020,30169,35073,28424,142804,57170
22.07.2020,30175,35082,28426,144026,57204
23.07.2020,30186,35092,28429,145101,57240
24.07.2020,30196,35097,28432,146194,57259
25.07.2020,30196,35102,28432,147162,57282
26.07.2020,30196,35107,28432,147701,57314
27.07.2020,30214,35112,28434,148810,57332
28.07.2020,30227,35123,28436,150022,57358
29.07.2020,30241,35129,28441,151456,57386
30.07.2020,30257,35132,28443,152751,57403
31.07.2020,30268,35141,28445,153923,57434
01.08.2020,30268,35146,28445,155038,57454
02.08.2020,30268,35154,28445,155500,57471
03.08.2020,30298,35166,28472,156063,57494
04.08.2020,30300,35171,28498,157318,57521
05.08.2020,30311,35181,28499,158735,57534
06.08.2020,30315,35187,28500,159921,57555
07.08.2020,30328,35190,28503,161212,57579
08.08.2020,30329,35203,28503,162301,57601
09.08.2020,30329,35205,28503,162874,57620
10.08.2020,30344,35209,28576,163399,57645
11.08.2020,30357,35215,28581,164474,57665
12.08.2020,30376,35225,28579,165984,57689
13.08.2020,30393,35231,28605,167020,57712
14.08.2020,30412,35234,28617,168325,57730
15.08.2020,30413,35392,28617,169361,57753
16.08.2020,30415,35396,28617,169976,57768
17.08.2020,30434,35400,28646,170453,57789
18.08.2020,30456,35405,28670,171682,57804
19.08.2020,30474,35412,28797,172367,57818
20.08.2020,30485,35418,28813,173469,57834
21.08.2020,30509,35427,28838,174564,57844
