country,Albania,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Ireland,Italy,Kazakhstan,Kosovo,Latvia,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
01.05.2020,1.1642949547218506,3.969022265246845,0.5112606782293471,2.771618625277162,6.3449062522278705,1.0573177518085737,1.3659647125782617,3.2536520584329343,0.43352601156069726,0.7159593855766674,1.6353142368533615,0.29603315571343336,1.121121121121123,0.0035863932241161915,5.0092764378478725,0.655178548423703,0.8104978772674543,3.1711711711711796,1.0721909567242445,0.9563765738843577,5.731922398589084,0.0,1.3986013986014152,1.0108303249097494,0.4756871035940877,0.4301075268817157,2.129843469335385,0.0,1.2072281838428975,1.9795221843003334,0.5815456190230154,1.7705987419430191,1.2218007586344661,2.671568627450991,7.448966177768596,0.0,0.5014326647564593,0.3498950314905499,0.8344460842879604,2.0292053859283183,0.40221726492260135,1.8202389271571469,4.3724774168749,3.5969179213942457
02.05.2020,0.8951406649616334,5.819366852886419,0.17384585667376146,2.1574973031283826,6.10712609774081,0.9891499428944468,3.2565974171813714,2.508038585209009,0.14388489208632746,0.23264831329973362,1.0095698811652076,0.2951593860684705,2.4747574737675686,0.7250231612922547,2.826855123674919,0.54242825015086,0.30627871362940245,2.7593433461404095,1.6464263428214696,0.9159804847947246,7.228245760355858,2.109181141439226,0.114942528735627,0.5003573981415307,0.26301946344030463,0.21413276231265319,1.809045226130648,0.0,1.1128060216559603,0.8032128514056386,0.33406141590644983,2.0602823349866486,-0.6350834286616122,1.3129625208880322,8.409434506383763,3.9183039183039075,0.28510334996436903,0.34867503486750057,0.6347111738904181,2.6115241635687614,0.37704090220500425,1.6202039348977064,5.063990424454452,2.6946861795897696
03.05.2020,0.7604562737642464,4.971403431588209,0.2506748939452259,2.006335797254483,5.540813747788747,0.7855887876890684,0.978792822185973,1.505646173149317,0.383141762452112,0.3352675693101211,1.2077043206663216,0.05885815185404373,1.5069551777434267,0.24151722664639022,1.2027491408934645,0.4225087441730636,0.2290076335877897,1.9034670292318165,1.5583679637325423,0.6635519376289754,1.6333938294010812,3.4021871202916056,0.9184845005740584,0.2844950213371473,0.3147953830010362,1.9230769230769231,1.7028627838104733,0.0,0.8285106593460939,0.3320053120849738,0.486618004866191,2.377570093457936,0.3652242953553035,3.3851712221175077,8.571267351314747,1.089510788293097,0.0710732054015516,0.0,0.40815949617235836,1.064215197898758,0.2951336485897296,1.3427135678391953,4.399263868197364,2.366212534059967
04.05.2020,1.006289308176119,5.071248952221275,0.15387574533564327,2.6915113871635588,4.693205627057765,0.7233599166432881,3.715670436187394,2.101359703337439,0.23854961832061886,0.48836910422823726,1.512190103898779,0.17647058823528583,1.389417586600691,0.3895219772088208,0.6791171477079729,0.29457214603052356,0.22848438690021736,1.2341561040693731,1.2368641309401873,0.5794501630148439,3.2908163265306163,0.47003525264395546,1.934015927189979,0.6382978723404227,0.10460251046025863,0.6289308176100488,3.0817762678961373,0.3105590062111902,0.4881159704677397,0.4632693580410287,0.7263922518159582,2.285839480026275,0.9572027529467722,2.6513712679480315,7.855992040805722,0.9826711749788586,0.35511363636364507,0.0,0.25061388906770804,1.8102791593852054,0.25413810399599157,1.2804950612876356,3.508771929824555,2.124125594914849
05.05.2020,2.1170610211706036,4.467491025129652,0.18564752576658836,3.8306451612903123,4.923094516553251,0.48142916824158755,1.038421599169261,3.147699757869267,0.5235602094240849,0.984780662488806,1.530198621807868,0.4697592483852099,1.5956448282335323,0.6510086506312651,1.8549747048903977,0.5145890509894665,0.37993920972645434,0.9884678747940754,0.9691346683814177,0.5072238107371081,3.8528031612743847,0.1169590643274909,0.0,0.2818886539816558,0.3134796238244562,0.4166666666666762,2.707156308851221,0.3095975232197969,0.776215582893963,0.5270092226614007,0.6452429149797616,3.034413822647445,0.6973828553518177,2.405269390171701,6.954043560866828,1.2556241498378242,0.5661712668082096,0.41695621959696744,0.6045566508111897,2.1786012939571284,0.09339248190521585,1.4350731244957278,2.968129105506441,2.299407815171617
06.05.2020,1.463414634146343,6.223749522718595,0.21725239616613273,3.252427184466028,4.931880108991819,0.5385178879011614,2.106885919835548,4.342723004694828,0.3314393939393859,0.9878419452887689,1.1677812156901826,0.11689070718875838,2.974870657797483,2.072214052622632,0.9933774834437097,0.691587777757811,0.7948523845571585,1.500815660685147,1.2054769594686863,0.6778928985554826,5.160523186682529,0.0,0.4464285714285817,0.3513703443429561,0.2864583333333229,0.41493775933608096,2.5899610359844027,0.0,0.561933827447568,0.8519003931848009,0.5153991200502994,2.141223754417567,1.8675589448291934,1.9512900195128902,6.796035270644254,1.178051048878783,0.5629838142153277,0.20761245674738676,0.4541123152889081,3.023776705720204,0.16994901529540102,1.7398892587129635,3.835551705127195,3.116544284382126
07.05.2020,1.2019230769230864,3.6664270309130185,0.4335628666156724,3.620122237893745,4.7416255518047254,1.2583446564660075,2.013085052843492,2.8683914510686175,0.2831524303917011,0.7148231753197827,1.4305445935280212,0.4086398131932456,1.7943656917279782,0.3983377720635444,0.8196721311475382,0.7540347997764043,0.563274502440843,1.2536162005785967,0.6157856886012083,0.6532778132679398,3.5278154681139573,0.584112149532708,1.0000000000000004,0.35014005602239967,0.20773824980526043,0.4132231404958772,2.8820375335120696,0.0,1.0959102076207963,2.14424951267057,0.4752376188093964,2.082767978290383,2.0357497517378276,2.77876231658044,6.768557636097366,0.582167296496792,1.1196641007697694,0.06906077348065022,0.5092477022580295,2.9475708671293686,0.21956087824350815,1.500637600194303,3.8455703883495196,2.776254083089954
08.05.2020,0.9501187648455984,5.027739251040214,0.13966480446926338,3.402903811252285,4.626140420468081,1.1493582263710593,2.1213616181549177,2.3510114816839747,1.69411764705881,0.5727804756568317,1.313101838342573,0.2906976744185983,1.1457782478406497,0.7340582444345582,1.30081300813009,0.6834680989198989,0.4854368932039027,0.8888888888888842,0.6968952423497852,0.6147559969980274,5.5919615552643185,0.0,2.090209020902071,0.2093510118632323,0.31096138896085773,0.6172839506172841,2.671009771986984,0.0,0.760012388916697,0.8905852417302726,0.44809559372665586,2.120023925034882,2.0699981283923163,2.151872542933981,6.039173628358546,0.9646628757108059,0.6920415224913664,0.06901311249140121,0.6367212019128791,2.6073183608820774,0.26887074287990514,1.381981887661632,3.681250456504278,2.2367857984296293
09.05.2020,0.7058823529411652,4.820072631231438,0.3740332192215022,6.274681878016657,4.5068954078005765,1.1247620695622185,0.9661835748792131,2.617521367521354,0.6941230911614961,0.2228550204283817,0.9696620583717253,0.4637681159420145,2.4747298710351915,0.32916765984494434,0.48154093097912315,0.4314488709639682,0.7060572277963522,1.1013215859030778,0.9715629297724238,0.498653221907583,2.9168390566818356,0.11614401858304843,0.21551724137933007,0.5571030640668376,0.15499870834409954,0.20449897750513096,2.939932318104886,0.0,0.6833443677291087,2.269861286254737,0.3593556381660591,1.8547442405310497,0.5060877218717802,2.160556343258386,5.758041935707087,0.8951020818666312,0.0,0.2758620689654865,0.32352584841399334,2.596477340193945,0.1456616016155271,1.140378700145322,3.6280380415639226,1.8322994511567166
10.05.2020,1.4018691588785062,4.346456692913379,0.24000505273795916,4.004954582989275,4.176491928169784,0.9221233553882399,1.2918660287081372,2.290473711608546,0.5055147058823541,0.34589252625076916,1.0459256441951286,0.3462204270051987,1.3945578231292566,0.17648855652725276,1.4376996805111733,0.32394760804090605,0.22140221402214352,1.5561780267662755,1.0369068541300515,0.36743819524621374,2.3115577889447207,0.9280742459396595,0.9677419354838712,2.423822714681445,0.23213825122516885,1.2244897959183536,1.2327922745017588,0.0,0.5753739930955067,1.2330456226880397,0.0740832201506287,2.204331991566026,0.6385463037291064,1.5266671072632365,5.5426926251787005,0.0,0.13745704467354286,0.20632737276480936,0.345293365179054,1.5470082172755661,0.17850649565303672,1.124603435072743,3.548606390210763,1.812261863526136
